,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
2309,06-2016,"679,000",,"1,152,000",,"57,000","$-3,462,000","1,056,000","179,000","1,036,000","$6,650,000","303,000","621,000","992,000","4,057,000",,"2,811,000","$10,112,000","254,401","5,000","5,185,000","-173,000","$6,650,000",MAR,"1,328,000","2,420,000",,
2310,03-2016,"99,000",,"1,143,000",,"103,000","$-3,667,000","1,042,000","169,000","1,072,000","$6,121,000","300,000","597,000","1,013,000","3,859,000",,"2,682,000","$9,788,000","254,232","5,000","5,025,000","-177,000","$6,121,000",MAR,"1,337,000","2,414,000",,
2311,12-2015,"96,000",,"1,103,000",,"108,000","$-3,590,000","1,029,000","165,000","1,110,000","$6,082,000","300,000","593,000","952,000","3,807,000",,"2,616,000","$9,672,000","253,482","5,000","4,878,000","-196,000","$6,082,000",MAR,"1,388,000","2,394,000",,
2312,09-2015,"95,000",,"1,144,000",,"169,000","$-3,589,000","985,000","174,000","851,000","$6,153,000","615,000","577,000","1,538,000","3,689,000",,"2,544,000","$9,742,000","257,129","5,000","4,740,000","-120,000","$6,153,000",MAR,"779,000","2,420,000","257,000",
2313,06-2015,"140,000",,"1,188,000",,"201,000","$-3,033,000","987,000","216,000","798,000","$6,321,000","614,000","640,000","1,457,000","3,303,000",,"2,534,000","$9,354,000","265,888","5,000","4,573,000","-88,000","$6,321,000",MAR,"806,000","2,414,000","309,000",
2314,03-2015,"120,000",,"1,172,000",,"161,000","$-2,537,000","1,446,000","217,000","1,023,000","$6,803,000","325,000","604,000","1,342,000","3,703,000",,"2,607,000","$9,340,000","274,950","5,000","4,401,000","-90,000","$6,803,000",MAR,"759,000","2,289,000","311,000",
2315,12-2014,"104,000",,"1,100,000",,"342,000","$-2,200,000","1,460,000","224,000","1,294,000","$6,833,000","324,000","605,000","677,000","3,447,000",,"2,548,000","$9,033,000","276,542","5,000","4,286,000","-70,000","$6,833,000",MAR,"1,432,000","2,245,000",N/A,
2316,09-2014,"150,000",,"1,030,000",,"111,000","$-1,842,000","1,736,000","234,000","1,089,000","$6,847,000","7,000","612,000","1,360,000","3,521,000",,"2,430,000","$8,689,000","283,361","5,000","4,156,000","-53,000","$6,847,000",MAR,"759,000","2,236,000","207,000",
2317,06-2014,"192,000",,"1,057,000",,"28,000","$-1,720,000","1,647,000","229,000","1,189,000","$6,830,000","7,000","617,000","1,295,000","3,397,000",,"2,463,000","$8,550,000","290,570","5,000","4,030,000","-39,000","$6,830,000",MAR,"771,000","2,228,000","202,000",
2318,03-2014,"184,000",,"1,035,000",,"52,000","$-1,625,000","1,569,000","222,000","1,309,000","$6,665,000","7,000","616,000","1,241,000","3,295,000",,"2,399,000","$8,290,000","292,765","5,000","3,917,000","-41,000","$6,665,000",MAR,"732,000","2,000,000","235,000",
